x,y
2015-08-17T02:00:00Z,52.43
2015-08-17T05:00:00Z,31.96
2015-08-17T08:00:00Z,5.3
2015-08-17T11:00:00Z,2.07
2015-08-17T14:00:00Z,0.53
2015-08-17T17:00:00Z,0
2015-08-17T20:00:00Z,10.88
2015-08-17T23:00:00Z,54.56
2015-08-18T02:00:00Z,69.39
2015-08-18T05:00:00Z,30.02
2015-08-18T08:00:00Z,5.58
2015-08-18T11:00:00Z,2.37
2015-08-18T14:00:00Z,1.1
2015-08-18T17:00:00Z,0.16
2015-08-18T20:00:00Z,13.32
2015-08-18T23:00:00Z,54.08
2015-08-19T02:00:00Z,66.19
2015-08-19T05:00:00Z,38.51
2015-08-19T08:00:00Z,8.51
2015-08-19T11:00:00Z,0.54
2015-08-19T14:00:00Z,0
2015-08-19T17:00:00Z,0
2015-08-19T20:00:00Z,14.45
2015-08-19T23:00:00Z,53.29
2015-08-20T02:00:00Z,59.47
2015-08-20T05:00:00Z,25.56
2015-08-20T08:00:00Z,5.91
2015-08-20T11:00:00Z,2.39
2015-08-20T14:00:00Z,0.4
2015-08-20T17:00:00Z,0.05
2015-08-20T20:00:00Z,12.16
2015-08-20T23:00:00Z,53.19
2015-08-21T02:00:00Z,48.79
2015-08-21T05:00:00Z,22.14
2015-08-21T08:00:00Z,5.96
2015-08-21T11:00:00Z,5.89
2015-08-21T14:00:00Z,3.96
2015-08-21T17:00:00Z,0.8
2015-08-21T20:00:00Z,24.42
2015-08-21T23:00:00Z,57.82
2015-08-22T02:00:00Z,102.59
2015-08-22T05:00:00Z,49.04
2015-08-22T08:00:00Z,5.79
2015-08-22T11:00:00Z,3.42
2015-08-22T14:00:00Z,1.06
2015-08-22T17:00:00Z,0.12
2015-08-22T20:00:00Z,21.82
2015-08-22T23:00:00Z,90.52
2015-08-23T02:00:00Z,95.91
2015-08-23T05:00:00Z,51.48
2015-08-23T08:00:00Z,3.24
2015-08-23T11:00:00Z,0.52
2015-08-23T14:00:00Z,0.12
2015-08-23T17:00:00Z,0
2015-08-23T20:00:00Z,20.73
2015-08-23T23:00:00Z,84.78
2015-08-24T02:00:00Z,95.3
2015-08-24T05:00:00Z,51.51
2015-08-24T08:00:00Z,6.81
2015-08-24T11:00:00Z,1.18
2015-08-24T14:00:00Z,0
2015-08-24T17:00:00Z,0
2015-08-24T20:00:00Z,24.36
2015-08-24T23:00:00Z,100.51
2015-08-25T02:00:00Z,123.48
2015-08-25T05:00:00Z,77.01
2015-08-25T08:00:00Z,15.95
2015-08-25T11:00:00Z,3.01
2015-08-25T14:00:00Z,0.01
2015-08-25T17:00:00Z,0
2015-08-25T20:00:00Z,22.06
2015-08-25T23:00:00Z,90.25
2015-08-26T02:00:00Z,108.4
2015-08-26T05:00:00Z,54.56
2015-08-26T08:00:00Z,14.05
2015-08-26T11:00:00Z,4.15
2015-08-26T14:00:00Z,0
2015-08-26T17:00:00Z,0
2015-08-26T20:00:00Z,18.37
2015-08-26T23:00:00Z,64.12
2015-08-27T02:00:00Z,90.76
2015-08-27T05:00:00Z,56.93
2015-08-27T08:00:00Z,13.38
2015-08-27T11:00:00Z,0.97
2015-08-27T14:00:00Z,0.01
2015-08-27T17:00:00Z,0
2015-08-27T20:00:00Z,14.98
2015-08-27T23:00:00Z,66.1
2015-08-28T02:00:00Z,79.94
2015-08-28T05:00:00Z,46.58
2015-08-28T08:00:00Z,11.52
2015-08-28T11:00:00Z,0.46
2015-08-28T14:00:00Z,0.02
2015-08-28T17:00:00Z,0
2015-08-28T20:00:00Z,14.37
2015-08-28T23:00:00Z,58.53
2015-08-29T02:00:00Z,67.62
2015-08-29T05:00:00Z,41.53
2015-08-29T08:00:00Z,7.68
2015-08-29T11:00:00Z,0.51
2015-08-29T14:00:00Z,0
2015-08-29T17:00:00Z,0
2015-08-29T20:00:00Z,12.13
2015-08-29T23:00:00Z,56.82
2015-08-30T02:00:00Z,72.21
2015-08-30T05:00:00Z,44.3
2015-08-30T08:00:00Z,6.92
2015-08-30T11:00:00Z,1.2
2015-08-30T14:00:00Z,0
2015-08-30T17:00:00Z,0
2015-08-30T20:00:00Z,10.43
2015-08-30T23:00:00Z,49.5
2015-08-31T02:00:00Z,63.26
2015-08-31T05:00:00Z,41.16
2015-08-31T08:00:00Z,7.88
2015-08-31T11:00:00Z,0.15
2015-08-31T14:00:00Z,0
2015-08-31T17:00:00Z,0
2015-08-31T20:00:00Z,10.11
2015-08-31T23:00:00Z,49.07
2015-09-01T02:00:00Z,49.19
2015-09-01T05:00:00Z,23.53
2015-09-01T08:00:00Z,4.69
2015-09-01T11:00:00Z,1.18
2015-09-01T14:00:00Z,0.53
2015-09-01T17:00:00Z,0.01
2015-09-01T20:00:00Z,9.79
2015-09-01T23:00:00Z,44.22
2015-09-02T02:00:00Z,41.01
2015-09-02T05:00:00Z,21.12
2015-09-02T08:00:00Z,3
2015-09-02T11:00:00Z,1.49
2015-09-02T14:00:00Z,0.89
2015-09-02T17:00:00Z,0
2015-09-02T20:00:00Z,14.84
2015-09-02T23:00:00Z,61.63
2015-09-03T02:00:00Z,73.46
2015-09-03T05:00:00Z,43.59
2015-09-03T08:00:00Z,12.04
2015-09-03T11:00:00Z,0.41
2015-09-03T14:00:00Z,0
2015-09-03T17:00:00Z,0.01
2015-09-03T20:00:00Z,12.56
2015-09-03T23:00:00Z,53.79
2015-09-04T02:00:00Z,74
2015-09-04T05:00:00Z,45.88
2015-09-04T08:00:00Z,5.44
2015-09-04T11:00:00Z,0.05
2015-09-04T14:00:00Z,0.01
2015-09-04T17:00:00Z,0
2015-09-04T20:00:00Z,10.71
2015-09-04T23:00:00Z,51.51
2015-09-05T02:00:00Z,58.85
2015-09-05T05:00:00Z,34.66
2015-09-05T08:00:00Z,6.78
2015-09-05T11:00:00Z,2.97
2015-09-05T14:00:00Z,1.26
2015-09-05T17:00:00Z,0.01
2015-09-05T20:00:00Z,20.29
2015-09-05T23:00:00Z,86.76
2015-09-06T02:00:00Z,110.25
2015-09-06T05:00:00Z,71.29
2015-09-06T08:00:00Z,18.83
2015-09-06T11:00:00Z,4.87
2015-09-06T14:00:00Z,0.73
2015-09-06T17:00:00Z,0
2015-09-06T20:00:00Z,18.99
2015-09-06T23:00:00Z,72.65
2015-09-07T02:00:00Z,90.69
2015-09-07T05:00:00Z,58.17
2015-09-07T08:00:00Z,11.48
2015-09-07T11:00:00Z,0.57
2015-09-07T14:00:00Z,0
2015-09-07T17:00:00Z,0
2015-09-07T20:00:00Z,10.68
2015-09-07T23:00:00Z,51.45
2015-09-08T02:00:00Z,72.71
2015-09-08T05:00:00Z,47.58
2015-09-08T08:00:00Z,5.9
2015-09-08T11:00:00Z,0.66
2015-09-08T14:00:00Z,0
2015-09-08T17:00:00Z,0
2015-09-08T20:00:00Z,9.87
2015-09-08T23:00:00Z,53.34
2015-09-09T02:00:00Z,69.36
2015-09-09T05:00:00Z,42.11
2015-09-09T08:00:00Z,4.44
2015-09-09T11:00:00Z,0.46
