x,y
2015-08-17T02:00:00Z,24.734
2015-08-17T05:00:00Z,24.579
2015-08-17T08:00:00Z,24.849
2015-08-17T11:00:00Z,24.869
2015-08-17T14:00:00Z,25.433
2015-08-17T17:00:00Z,26.806
2015-08-17T20:00:00Z,27.703
2015-08-17T23:00:00Z,27.376
2015-08-18T02:00:00Z,27.193
2015-08-18T05:00:00Z,26.989
2015-08-18T08:00:00Z,27.075
2015-08-18T11:00:00Z,27.184
2015-08-18T14:00:00Z,27.314
2015-08-18T17:00:00Z,27.686
2015-08-18T20:00:00Z,27.622
2015-08-18T23:00:00Z,27.377
2015-08-19T02:00:00Z,27.074
2015-08-19T05:00:00Z,26.807
2015-08-19T08:00:00Z,26.764
2015-08-19T11:00:00Z,26.766
2015-08-19T14:00:00Z,26.779
2015-08-19T17:00:00Z,26.8
2015-08-19T20:00:00Z,26.713
2015-08-19T23:00:00Z,26.345
2015-08-20T02:00:00Z,25.944
2015-08-20T05:00:00Z,25.915
2015-08-20T08:00:00Z,26.243
2015-08-20T11:00:00Z,26.51
2015-08-20T14:00:00Z,26.888
2015-08-20T17:00:00Z,26.984
2015-08-20T20:00:00Z,27.027
2015-08-20T23:00:00Z,27.07
2015-08-21T02:00:00Z,27.08
2015-08-21T05:00:00Z,29.924
2015-08-21T08:00:00Z,31.847
2015-08-21T11:00:00Z,33.615
2015-08-21T14:00:00Z,34.659
2015-08-21T17:00:00Z,35.133
2015-08-21T20:00:00Z,35.673
2015-08-21T23:00:00Z,35.328
2015-08-22T02:00:00Z,34.844
2015-08-22T05:00:00Z,33.913
2015-08-22T08:00:00Z,33.95
2015-08-22T11:00:00Z,33.941
2015-08-22T14:00:00Z,33.992
2015-08-22T17:00:00Z,33.899
2015-08-22T20:00:00Z,33.504
2015-08-22T23:00:00Z,33.107
2015-08-23T02:00:00Z,32.783
2015-08-23T05:00:00Z,32.705
2015-08-23T08:00:00Z,33.059
2015-08-23T11:00:00Z,33.68
2015-08-23T14:00:00Z,34.525
2015-08-23T17:00:00Z,34.497
2015-08-23T20:00:00Z,34.793
2015-08-23T23:00:00Z,34.052
2015-08-24T02:00:00Z,33.496
2015-08-24T05:00:00Z,33.221
2015-08-24T08:00:00Z,33.154
2015-08-24T11:00:00Z,33.6
2015-08-24T14:00:00Z,34.069
2015-08-24T17:00:00Z,33.608
2015-08-24T20:00:00Z,33.161
2015-08-24T23:00:00Z,32.35
2015-08-25T02:00:00Z,31.51
2015-08-25T05:00:00Z,31.085
2015-08-25T08:00:00Z,31.058
2015-08-25T11:00:00Z,31.083
2015-08-25T14:00:00Z,31.115
2015-08-25T17:00:00Z,31.15
2015-08-25T20:00:00Z,31.033
2015-08-25T23:00:00Z,30.504
2015-08-26T02:00:00Z,29.91
2015-08-26T05:00:00Z,29.644
2015-08-26T08:00:00Z,29.63
2015-08-26T11:00:00Z,29.659
2015-08-26T14:00:00Z,29.717
2015-08-26T17:00:00Z,29.771
2015-08-26T20:00:00Z,29.686
2015-08-26T23:00:00Z,29.317
2015-08-27T02:00:00Z,28.807
2015-08-27T05:00:00Z,28.524
2015-08-27T08:00:00Z,28.516
2015-08-27T11:00:00Z,28.567
2015-08-27T14:00:00Z,28.63
2015-08-27T17:00:00Z,28.683
2015-08-27T20:00:00Z,28.63
2015-08-27T23:00:00Z,28.259
2015-08-28T02:00:00Z,27.822
2015-08-28T05:00:00Z,27.605
2015-08-28T08:00:00Z,27.602
2015-08-28T11:00:00Z,27.649
2015-08-28T14:00:00Z,27.701
2015-08-28T17:00:00Z,27.76
2015-08-28T20:00:00Z,27.714
2015-08-28T23:00:00Z,27.399
2015-08-29T02:00:00Z,27.038
2015-08-29T05:00:00Z,26.841
2015-08-29T08:00:00Z,26.849
2015-08-29T11:00:00Z,26.896
2015-08-29T14:00:00Z,26.95
2015-08-29T17:00:00Z,27.002
2015-08-29T20:00:00Z,26.968
2015-08-29T23:00:00Z,26.664
2015-08-30T02:00:00Z,26.276
2015-08-30T05:00:00Z,26.061
2015-08-30T08:00:00Z,26.069
2015-08-30T11:00:00Z,26.107
2015-08-30T14:00:00Z,26.162
2015-08-30T17:00:00Z,26.214
2015-08-30T20:00:00Z,26.19
2015-08-30T23:00:00Z,25.928
2015-08-31T02:00:00Z,25.591
2015-08-31T05:00:00Z,25.596
2015-08-31T08:00:00Z,25.761
2015-08-31T11:00:00Z,25.8
2015-08-31T14:00:00Z,25.848
2015-08-31T17:00:00Z,25.889
2015-08-31T20:00:00Z,25.866
2015-08-31T23:00:00Z,25.845
2015-09-01T02:00:00Z,25.648
2015-09-01T05:00:00Z,25.587
2015-09-01T08:00:00Z,25.61
2015-09-01T11:00:00Z,25.726
2015-09-01T14:00:00Z,25.762
2015-09-01T17:00:00Z,25.806
2015-09-01T20:00:00Z,25.794
2015-09-01T23:00:00Z,25.566
2015-09-02T02:00:00Z,25.358
2015-09-02T05:00:00Z,28.726
2015-09-02T08:00:00Z,29.568
2015-09-02T11:00:00Z,29.697
2015-09-02T14:00:00Z,29.898
2015-09-02T17:00:00Z,29.773
2015-09-02T20:00:00Z,30.027
2015-09-02T23:00:00Z,29.56
2015-09-03T02:00:00Z,29.003
2015-09-03T05:00:00Z,28.645
2015-09-03T08:00:00Z,28.536
2015-09-03T11:00:00Z,28.496
2015-09-03T14:00:00Z,28.466
2015-09-03T17:00:00Z,28.437
2015-09-03T20:00:00Z,28.318
2015-09-03T23:00:00Z,27.926
2015-09-04T02:00:00Z,27.423
2015-09-04T05:00:00Z,27.131
2015-09-04T08:00:00Z,27.112
2015-09-04T11:00:00Z,27.127
2015-09-04T14:00:00Z,27.142
2015-09-04T17:00:00Z,27.166
2015-09-04T20:00:00Z,27.104
2015-09-04T23:00:00Z,26.772
2015-09-05T02:00:00Z,26.404
2015-09-05T05:00:00Z,26.863
2015-09-05T08:00:00Z,27.81
2015-09-05T11:00:00Z,29.015
2015-09-05T14:00:00Z,30.142
2015-09-05T17:00:00Z,31.12
2015-09-05T20:00:00Z,31.28
2015-09-05T23:00:00Z,30.776
2015-09-06T02:00:00Z,30.483
2015-09-06T05:00:00Z,29.819
2015-09-06T08:00:00Z,29.591
2015-09-06T11:00:00Z,29.453
2015-09-06T14:00:00Z,29.355
2015-09-06T17:00:00Z,29.287
2015-09-06T20:00:00Z,29.081
2015-09-06T23:00:00Z,28.527
2015-09-07T02:00:00Z,27.897
2015-09-07T05:00:00Z,27.52
2015-09-07T08:00:00Z,27.469
2015-09-07T11:00:00Z,27.479
2015-09-07T14:00:00Z,27.503
2015-09-07T17:00:00Z,27.527
2015-09-07T20:00:00Z,27.462
2015-09-07T23:00:00Z,27.121
2015-09-08T02:00:00Z,26.655
2015-09-08T05:00:00Z,26.371
2015-09-08T08:00:00Z,26.362
2015-09-08T11:00:00Z,26.381
2015-09-08T14:00:00Z,26.41
2015-09-08T17:00:00Z,26.438
2015-09-08T20:00:00Z,26.392
2015-09-08T23:00:00Z,26.058
2015-09-09T02:00:00Z,25.635
2015-09-09T05:00:00Z,25.397
2015-09-09T08:00:00Z,25.4
2015-09-09T11:00:00Z,25.424
2015-09-09T14:00:00Z,25.454
2015-09-09T17:00:00Z,25.488
2015-09-09T20:00:00Z,25.454
2015-09-09T23:00:00Z,25.172
2015-09-10T02:00:00Z,24.813
2015-09-10T05:00:00Z,24.604
2015-09-10T08:00:00Z,24.601
2015-09-10T11:00:00Z,24.621
2015-09-10T14:00:00Z,24.653
2015-09-10T17:00:00Z,24.693
2015-09-10T20:00:00Z,24.673
2015-09-10T23:00:00Z,24.429
2015-09-11T02:00:00Z,24.129
2015-09-11T05:00:00Z,24.005
2015-09-11T08:00:00Z,24.002
2015-09-11T11:00:00Z,24.03
2015-09-11T14:00:00Z,24.057
2015-09-11T17:00:00Z,24.254
2015-09-11T20:00:00Z,24.392
2015-09-11T23:00:00Z,24.209
2015-09-12T02:00:00Z,23.933
2015-09-12T05:00:00Z,27.2
2015-09-12T08:00:00Z,29.001
2015-09-12T11:00:00Z,28.771
2015-09-12T14:00:00Z,28.59
2015-09-12T17:00:00Z,28.439
2015-09-12T20:00:00Z,28.272
2015-09-12T23:00:00Z,27.848
2015-09-13T02:00:00Z,27.474
2015-09-13T05:00:00Z,27.26
2015-09-13T08:00:00Z,27.179
2015-09-13T11:00:00Z,28.042
2015-09-13T14:00:00Z,30.581
2015-09-13T17:00:00Z,31.19
2015-09-13T20:00:00Z,32.158
2015-09-13T23:00:00Z,31.266
2015-09-14T02:00:00Z,30.409
2015-09-14T05:00:00Z,29.829
2015-09-14T08:00:00Z,29.592
2015-09-14T11:00:00Z,29.769
2015-09-14T14:00:00Z,32.668
2015-09-14T17:00:00Z,32.215
2015-09-14T20:00:00Z,31.54
2015-09-14T23:00:00Z,30.715
2015-09-15T02:00:00Z,29.896
2015-09-15T05:00:00Z,29.498
2015-09-15T08:00:00Z,29.349
2015-09-15T11:00:00Z,29.239
2015-09-15T14:00:00Z,29.156
2015-09-15T17:00:00Z,29.328
2015-09-15T20:00:00Z,34.208
2015-09-15T23:00:00Z,35.056
2015-09-16T02:00:00Z,33.457
