x,y
2015-08-12T00:30:00Z,-3.67944
2015-08-12T01:30:00Z,-4.10886
2015-08-12T02:30:00Z,-4.37782
2015-08-12T03:30:00Z,-4.40717
2015-08-12T04:30:00Z,-4.21516
2015-08-12T05:30:00Z,-3.82942
2015-08-12T06:30:00Z,-3.37479
2015-08-12T07:30:00Z,-3.0094
2015-08-12T08:30:00Z,-2.57281
2015-08-12T09:30:00Z,-2.20325
2015-08-12T10:30:00Z,-1.79324
2015-08-12T11:30:00Z,-1.49757
2015-08-12T12:30:00Z,-1.29202
2015-08-12T13:30:00Z,-1.26555
2015-08-12T14:30:00Z,-1.29092
2015-08-12T15:30:00Z,-1.34571
2015-08-12T16:30:00Z,-1.43688
2015-08-12T17:30:00Z,-1.63483
2015-08-12T18:30:00Z,-1.965
2015-08-12T19:30:00Z,-1.80914
2015-08-12T20:30:00Z,-1.63282
2015-08-12T21:30:00Z,-1.87852
2015-08-12T22:30:00Z,-2.47748
2015-08-12T23:30:00Z,-3.20545
2015-08-13T00:30:00Z,-3.79191
2015-08-13T01:30:00Z,-4.08863
2015-08-13T02:30:00Z,-4.0706
2015-08-13T03:30:00Z,-3.82226
2015-08-13T04:30:00Z,-3.54009
2015-08-13T05:30:00Z,-3.19788
2015-08-13T06:30:00Z,-2.73622
2015-08-13T07:30:00Z,-2.41229
2015-08-13T08:30:00Z,-2.08769
2015-08-13T09:30:00Z,-1.98669
2015-08-13T10:30:00Z,-1.67149
2015-08-13T11:30:00Z,-1.41109
2015-08-13T12:30:00Z,-1.19041
2015-08-13T13:30:00Z,-0.885765
2015-08-13T14:30:00Z,-0.737143
2015-08-13T15:30:00Z,-0.710066
2015-08-13T16:30:00Z,-0.754716
2015-08-13T17:30:00Z,-0.987044
2015-08-13T18:30:00Z,-1.44356
2015-08-13T19:30:00Z,-1.61572
2015-08-13T20:30:00Z,-1.59646
2015-08-13T21:30:00Z,-1.7732
2015-08-13T22:30:00Z,-2.13953
2015-08-13T23:30:00Z,-2.51791
2015-08-14T00:30:00Z,-2.90512
2015-08-14T01:30:00Z,-3.37045
2015-08-14T02:30:00Z,-3.59905
2015-08-14T03:30:00Z,-3.60166
2015-08-14T04:30:00Z,-3.53215
2015-08-14T05:30:00Z,-3.1465
